Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years
Andrew Benintendi,andrew benintendi,andrew,benintendi,1,2017,2017,OF,Chicago White Sox,MLB,31,1,2017
Bobby Witt Jr.,bobby witt,bobby,witt,1,2022,2022,SS/3B,Kansas City Royals,MLB,25,3,2020;2021;2022
Gunnar Henderson,gunnar henderson,gunnar,henderson,1,2023,2023,3B/SS,Baltimore Orioles,MLB,24,2,2022;2023
Jackson Holliday,jackson holliday,jackson,holliday,1,2024,2024,2B/SS,Baltimore Orioles,AAA,22,2,2023;2024
Jesús Made,jesus made,jesus,made,1,2026,2026,SS,Milwaukee Brewers,AA,19,2,2025;2026
Shohei Ohtani,shohei ohtani,shohei,ohtani,1,2018,2018,TWP,Los Angeles Dodgers,MLB,31,1,2018
Vladimir Guerrero Jr.,vladimir guerrero,vladimir,guerrero,1,2019,2019,3B,Toronto Blue Jays,MLB,27,3,2017;2018;2019
Wander Franco,wander franco,wander,franco,1,2021,2021,SS,Tampa Bay Rays,MLB,25,3,2019;2020;2021
Adley Rutschman,adley rutschman,adley,rutschman,2,2022,2022,C,Baltimore Orioles,MLB,28,3,2020;2021;2022
Corbin Carroll,corbin carroll,corbin,carroll,2,2023,2023,OF,Arizona Diamondbacks,MLB,25,4,2020;2021;2022;2023
Fernando Tatis Jr.,fernando tatis,fernando,tatis,2,2019,2019,SS,San Diego Padres,MLB,27,2,2018;2019
Gavin Lux,gavin lux,gavin,lux,2,2020,2020,SS/2B,Tampa Bay Rays,MLB,28,2,2019;2020
Jackson Chourio,jackson chourio,jackson,chourio,2,2024,2024,OF,Milwaukee Brewers,MLB,22,2,2023;2024
Leo De Vries,leo de vries,leo,vries,2,2026,2026,SS,Athletics,AA,19,2,2025;2026
Roman Anthony,roman anthony,roman,anthony,2,2025,2025,OF,Boston Red Sox,MLB,22,2,2024;2025
Ronald Acuña Jr.,ronald acuna,ronald,acuna,2,2018,2018,OF,Atlanta Braves,MLB,28,1,2018
Yoán Moncada,yoan moncada,yoan,moncada,2,2017,2017,2B,Los Angeles Angels,MLB,30,1,2017
Eloy Jiménez,eloy jimenez,eloy,jimenez,3,2019,2019,OF,Toronto Blue Jays,AAA,29,3,2017;2018;2019
Francisco Alvarez,francisco alvarez,francisco,alvarez,3,2023,2023,C,New York Mets,MLB,24,4,2020;2021;2022;2023
Gleyber Torres,gleyber torres,gleyber,torres,3,2017,2018,INF,Detroit Tigers,MLB,29,2,2017;2018
Julio Rodríguez,julio rodriguez,julio,rodriguez,3,2022,2022,OF,Seattle Mariners,MLB,25,3,2020;2021;2022
Luis Robert Jr.,luis robert,luis,robert,3,2020,2020,OF,New York Mets,MLB,28,3,2018;2019;2020
Spencer Torkelson,spencer torkelson,spencer,torkelson,3,2021,2022,1B/3B,Detroit Tigers,MLB,26,2,2021;2022
Walker Jenkins,walker jenkins,walker,jenkins,3,2025,2026,OF,Minnesota Twins,AAA,21,3,2024;2025;2026
Dansby Swanson,dansby swanson,dansby,swanson,4,2017,2017,SS,Chicago Cubs,MLB,32,1,2017
Dylan Crews,dylan crews,dylan,crews,4,2025,2025,OF,Washington Nationals,AAA,24,2,2024;2025
Eli Willits,eli willits,eli,willits,4,2026,2026,SS,Washington Nationals,A,18,1,2026
Jarred Kelenic,jarred kelenic,jarred,kelenic,4,2021,2021,OF,Chicago White Sox,MLB,26,3,2019;2020;2021
Jordan Walker,jordan walker,jordan,walker,4,2023,2023,OF/3B,St. Louis Cardinals,MLB,23,2,2022;2023
Junior Caminero,junior caminero,junior,caminero,4,2024,2024,3B/2B,Tampa Bay Rays,MLB,22,1,2024
Victor Robles,victor robles,victor,robles,4,2019,2019,OF,Seattle Mariners,AAA,28,3,2017;2018;2019
Amed Rosario,amed rosario,amed,rosario,5,2017,2017,SS,New York Yankees,MLB,30,1,2017
Anthony Volpe,anthony volpe,anthony,volpe,5,2023,2023,SS,New York Yankees,MLB,25,2,2022;2023
Evan Carter,evan carter,evan,carter,5,2024,2024,OF,Texas Rangers,MLB,23,2,2023;2024
Riley Greene,riley greene,riley,greene,5,2022,2022,OF,Detroit Tigers,MLB,25,3,2020;2021;2022
Royce Lewis,royce lewis,royce,lewis,5,2019,2023,SS,Minnesota Twins,MLB,26,6,2018;2019;2020;2021;2022;2023
Colt Emerson,colt emerson,colt,emerson,6,2026,2026,SS,Seattle Mariners,MLB,20,3,2024;2025;2026
Jo Adell,jo adell,jo,adell,6,2020,2020,OF,Los Angeles Angels,MLB,27,3,2018;2019;2020
Max Clark,max clark,max,clark,6,2025,2026,OF,Detroit Tigers,AAA,21,3,2024;2025;2026
Nick Senzel,nick senzel,nick,senzel,6,2019,2019,3B/2B/OF,Los Angeles Dodgers,AAA,30,3,2017;2018;2019
Wyatt Langford,wyatt langford,wyatt,langford,6,2024,2024,OF,Texas Rangers,MLB,24,1,2024
Gabriel Moreno,gabriel moreno,gabriel,moreno,7,2022,2022,C,Arizona Diamondbacks,MLB,26,1,2022
J.P. Crawford,j p crawford,j,crawford,7,2017,2018,SS,Seattle Mariners,MLB,31,2,2017;2018
Kristian Campbell,kristian campbell,kristian,campbell,7,2025,2025,2B/SS/OF,Boston Red Sox,AAA,23,1,2025
CJ Abrams,cj abrams,cj,abrams,8,2021,2022,SS,Washington Nationals,MLB,25,3,2020;2021;2022
Ethan Salas,ethan salas,ethan,salas,8,2024,2026,C,San Diego Padres,AA,19,3,2024;2025;2026
Kyle Tucker,kyle tucker,kyle,tucker,8,2019,2019,OF,Los Angeles Dodgers,MLB,29,3,2017;2018;2019
Alex Kirilloff,alex kirilloff,alex,kirilloff,9,2019,2021,OF/1B,Minnesota Twins,MLB,28,4,2017;2019;2020;2021
Carson Williams,carson williams,carson,williams,9,2025,2025,SS,Tampa Bay Rays,MLB,22,3,2023;2024;2025
Colson Montgomery,colson montgomery,colson,montgomery,9,2024,2025,SS/3B,Chicago White Sox,MLB,24,3,2023;2024;2025
Josue De Paula,josue de paula,josue,paula,9,2026,2026,OF,Los Angeles Dodgers,AA,20,2,2025;2026
Ke'Bryan Hayes,ke'bryan hayes,ke'bryan,hayes,9,2021,2021,3B,Cincinnati Reds,MLB,29,3,2019;2020;2021
Marcelo Mayer,marcelo mayer,marcelo,mayer,9,2023,2025,INF,Boston Red Sox,MLB,23,4,2022;2023;2024;2025
Austin Meadows,austin meadows,austin,meadows,10,2017,2018,OF,Detroit Tigers,MLB,31,2,2017;2018
Brendan Rodgers,brendan rodgers,brendan,rodgers,10,2019,2020,2B/SS,Boston Red Sox,AAA,29,4,2017;2018;2019;2020
Elly De La Cruz,elly de la cruz,elly,cruz,10,2023,2023,SS/3B,Cincinnati Reds,MLB,24,2,2022;2023
Sebastian Walcott,sebastian walcott,sebastian,walcott,10,2026,2026,SS/3B,Texas Rangers,AA,20,3,2024;2025;2026
Travis Bazzana,travis bazzana,travis,bazzana,10,2025,2026,2B,Cleveland Guardians,MLB,23,2,2025;2026
Bo Bichette,bo bichette,bo,bichette,11,2019,2019,SS,New York Mets,MLB,28,2,2018;2019
Francisco Mejía,francisco mejia,francisco,mejia,11,2018,2019,C/OF,—,—,30,3,2017;2018;2019
Franklin Arias,franklin arias,franklin,arias,11,2026,2026,SS,Boston Red Sox,AA,20,2,2025;2026
Jordan Lawlar,jordan lawlar,jordan,lawlar,11,2025,2025,INF,Arizona Diamondbacks,MLB,23,4,2022;2023;2024;2025
Noelvi Marte,noelvi marte,noelvi,marte,11,2022,2024,3B/SS,Cincinnati Reds,AAA,24,3,2022;2023;2024
Ozzie Albies,ozzie albies,ozzie,albies,11,2017,2017,2B/SS,Atlanta Braves,MLB,29,1,2017
Cristian Pache,cristian pache,cristian,pache,12,2021,2021,OF,New York Mets,AAA,27,3,2019;2020;2021
Jackson Merrill,jackson merrill,jackson,merrill,12,2024,2024,SS/OF,San Diego Padres,MLB,23,2,2023;2024
Cody Bellinger,cody bellinger,cody,bellinger,13,2017,2017,1B/OF,New York Yankees,MLB,30,1,2017
Dylan Carlson,dylan carlson,dylan,carlson,13,2021,2021,OF,Philadelphia Phillies,AAA,27,2,2020;2021
Marco Luciano,marco luciano,marco,luciano,13,2022,2024,SS,New York Yankees,AAA,24,5,2020;2021;2022;2023;2024
Samuel Basallo,samuel basallo,samuel,basallo,13,2025,2025,C/1B,Baltimore Orioles,MLB,21,2,2024;2025
Andrew Vaughn,andrew vaughn,andrew,vaughn,14,2021,2021,1B/OF,Milwaukee Brewers,MLB,28,2,2020;2021
Coby Mayo,coby mayo,coby,mayo,14,2025,2025,3B/1B,Baltimore Orioles,MLB,24,2,2024;2025
Diego Cartaya,diego cartaya,diego,cartaya,14,2023,2023,C,San Francisco Giants,A+,24,2,2022;2023
James Wood,james wood,james,wood,14,2024,2024,OF,Washington Nationals,MLB,23,2,2023;2024
Joey Bart,joey bart,joey,bart,14,2020,2022,C,Pittsburgh Pirates,MLB,29,4,2019;2020;2021;2022
Brennen Davis,brennen davis,brennen,davis,15,2022,2023,OF,Seattle Mariners,AAA,26,4,2020;2021;2022;2023
Caleb Bonemer,caleb bonemer,caleb,bonemer,15,2026,2026,3B/SS,Chicago White Sox,A+,20,1,2026
Druw Jones,druw jones,druw,jones,15,2023,2024,OF,Arizona Diamondbacks,AA,22,2,2023;2024
Aidan Miller,aidan miller,aidan,miller,16,2026,2026,SS,Philadelphia Phillies,AAA,21,3,2024;2025;2026
Pete Crow-Armstrong,pete crow-armstrong,pete,crow-armstrong,16,2024,2024,OF,Chicago Cubs,MLB,24,2,2023;2024
Taylor Trammell,taylor trammell,taylor,trammell,16,2019,2021,OF,Houston Astros,MLB,28,4,2018;2019;2020;2021
Triston Casas,triston casas,triston,casas,16,2022,2023,1B,Boston Red Sox,MLB,26,4,2020;2021;2022;2023
Ethan Holliday,ethan holliday,ethan,holliday,17,2026,2026,SS,Colorado Rockies,A,19,1,2026
Rafael Devers,rafael devers,rafael,devers,17,2017,2017,3B,San Francisco Giants,MLB,29,1,2017
Alek Thomas,alek thomas,alek,thomas,18,2022,2022,OF,Los Angeles Dodgers,ROK,26,3,2020;2021;2022
Brooks Lee,brooks lee,brooks,lee,18,2024,2024,INF,Minnesota Twins,MLB,25,2,2023;2024
Bryce Eldridge,bryce eldridge,bryce,eldridge,18,2026,2026,1B,San Francisco Giants,MLB,21,3,2024;2025;2026
Lewis Brinson,lewis brinson,lewis,brinson,18,2017,2018,OF,—,—,32,2,2017;2018
Colton Cowser,colton cowser,colton,cowser,19,2024,2024,OF,Baltimore Orioles,MLB,26,3,2022;2023;2024
Luis Peña,luis pena,luis,pena,19,2026,2026,INF,Milwaukee Brewers,A+,19,1,2026
Matt Shaw,matt shaw,matt,shaw,19,2025,2025,INF,Chicago Cubs,MLB,24,2,2024;2025
Mickey Moniak,mickey moniak,mickey,moniak,19,2017,2018,OF,Colorado Rockies,MLB,28,2,2017;2018
JJ Bleday,jj bleday,jj,bleday,20,2021,2022,OF,Cincinnati Reds,MLB,28,3,2020;2021;2022
Keston Hiura,keston hiura,keston,hiura,20,2019,2019,1B,Los Angeles Dodgers,AAA,29,2,2018;2019
Nick Gonzales,nick gonzales,nick,gonzales,20,2022,2022,2B/SS,Pittsburgh Pirates,MLB,26,2,2021;2022
Zyhir Hope,zyhir hope,zyhir,hope,20,2026,2026,OF,Los Angeles Dodgers,AA,21,2,2025;2026
Brett Baty,brett baty,brett,baty,21,2023,2023,3B/OF,New York Mets,MLB,26,4,2020;2021;2022;2023
Carter Kieboom,carter kieboom,carter,kieboom,21,2020,2020,SS/2B,Philadelphia Phillies,AAA,28,3,2018;2019;2020
George Lombard Jr.,george lombard,george,lombard,21,2026,2026,INF,New York Yankees,AAA,20,1,2026
Jasson Domínguez,jasson dominguez,jasson,dominguez,21,2025,2025,OF,New York Yankees,MLB,23,6,2020;2021;2022;2023;2024;2025
Willy Adames,willy adames,willy,adames,21,2017,2018,SS/2B,San Francisco Giants,MLB,30,2,2017;2018
Austin Martin,austin martin,austin,martin,22,2021,2022,SS/OF/2B,Minnesota Twins,MLB,27,2,2021;2022
Bradley Zimmer,bradley zimmer,bradley,zimmer,22,2017,2017,OF,Colorado Rockies,MLB,33,1,2017
Colt Keith,colt keith,colt,keith,22,2024,2024,3B/2B,Detroit Tigers,MLB,24,1,2024
Jac Caglianone,jac caglianone,jac,caglianone,22,2025,2025,1B/OF,Kansas City Royals,MLB,23,1,2025
Austin Hays,austin hays,austin,hays,23,2018,2018,OF,Chicago White Sox,MLB,30,1,2018
JJ Wetherholt,jj wetherholt,jj,wetherholt,23,2025,2025,INF,St. Louis Cardinals,MLB,23,1,2025
Luis Urías,luis urias,luis,urias,23,2019,2019,INF,Arizona Diamondbacks,AAA,28,2,2018;2019
Manuel Margot,manuel margot,manuel,margot,23,2017,2017,OF,Detroit Tigers,AAA,31,1,2017
Braden Montgomery,braden montgomery,braden,montgomery,24,2026,2026,OF,Chicago White Sox,AAA,23,2,2025;2026
Clint Frazier,clint frazier,clint,frazier,24,2017,2017,OF,Chicago White Sox,AAA,31,1,2017
Henry Davis,henry davis,henry,davis,24,2022,2023,C,Pittsburgh Pirates,MLB,26,2,2022;2023
Ezequiel Tovar,ezequiel tovar,ezequiel,tovar,25,2023,2023,SS,Colorado Rockies,MLB,24,1,2023
Kahlil Watson,kahlil watson,kahlil,watson,25,2022,2022,OF,Cleveland Guardians,AAA,23,1,2022
Rainiel Rodriguez,rainiel rodriguez,rainiel,rodriguez,25,2026,2026,C,St. Louis Cardinals,AA,19,1,2026
Alfredo Duno,alfredo duno,alfredo,duno,26,2026,2026,C,Cincinnati Reds,A+,20,1,2026
Drew Waters,drew waters,drew,waters,26,2020,2021,OF,Kansas City Royals,AAA,27,3,2019;2020;2021
Oneil Cruz,oneil cruz,oneil,cruz,26,2022,2022,SS,Pittsburgh Pirates,MLB,27,4,2019;2020;2021;2022
Termarr Johnson,termarr johnson,termarr,johnson,26,2023,2025,2B,Pittsburgh Pirates,AAA,21,3,2023;2024;2025
Josh Bell,josh bell,josh,bell,27,2017,2017,1B/OF,Minnesota Twins,MLB,33,1,2017
Zac Veen,zac veen,zac,veen,27,2023,2023,OF,Colorado Rockies,AAA,24,3,2021;2022;2023
Adael Amador,adael amador,adael,amador,28,2024,2024,2B,Colorado Rockies,AAA,23,2,2023;2024
Ian Happ,ian happ,ian,happ,28,2017,2017,2B/OF,Chicago Cubs,MLB,31,1,2017
Kevin McGonigle,kevin mcgonigle,kevin,mcgonigle,28,2025,2025,SS,Detroit Tigers,MLB,21,1,2025
Charlie Condon,charlie condon,charlie,condon,29,2025,2026,1B/OF,Colorado Rockies,AAA,23,2,2025;2026
Josh Jung,josh jung,josh,jung,29,2022,2023,3B,Texas Rangers,MLB,28,4,2020;2021;2022;2023
Juan Soto,juan soto,juan,soto,29,2018,2018,OF,New York Mets,MLB,27,1,2018
Kyle Lewis,kyle lewis,kyle,lewis,29,2017,2018,OF,Arizona Diamondbacks,MLB,30,2,2017;2018
Alec Bohm,alec bohm,alec,bohm,30,2020,2020,3B/1B,Philadelphia Phillies,MLB,29,2,2019;2020
Corey Ray,corey ray,corey,ray,30,2017,2017,OF,Milwaukee Brewers,AA,31,1,2017
Dalton Rushing,dalton rushing,dalton,rushing,30,2025,2025,C/OF,Los Angeles Dodgers,MLB,25,2,2024;2025
Lazaro Montes,lazaro montes,lazaro,montes,30,2026,2026,OF,Seattle Mariners,AA,21,2,2025;2026
Sal Frelick,sal frelick,sal,frelick,30,2023,2023,OF,Milwaukee Brewers,MLB,26,2,2022;2023
Chase DeLauter,chase delauter,chase,delauter,31,2024,2025,OF,Cleveland Guardians,MLB,24,3,2023;2024;2025
Jacob Wilson,jacob wilson,jacob,wilson,31,2025,2025,SS,Athletics,MLB,24,2,2024;2025
Josuar Gonzalez,josuar gonzalez,josuar,gonzalez,31,2026,2026,SS,San Francisco Giants,ROK,18,1,2026
Heston Kjerstad,heston kjerstad,heston,kjerstad,32,2024,2024,OF,Baltimore Orioles,AAA,27,3,2021;2023;2024
JoJo Parker,jojo parker,jojo,parker,32,2026,2026,SS,Toronto Blue Jays,A,19,1,2026
Kevin Maitan,kevin maitan,kevin,maitan,32,2017,2018,3B/SS/2B,Minnesota Twins,A+,26,2,2017;2018
Kyle Teel,kyle teel,kyle,teel,32,2025,2025,C,Chicago White Sox,AAA,24,2,2024;2025
Alex Verdugo,alex verdugo,alex,verdugo,33,2018,2019,OF,San Diego Padres,ROK,30,3,2017;2018;2019
Curtis Mead,curtis mead,curtis,mead,33,2023,2024,3B/2B,Washington Nationals,MLB,25,2,2023;2024
Nolan Gorman,nolan gorman,nolan,gorman,33,2022,2022,2B/3B,St. Louis Cardinals,MLB,26,4,2019;2020;2021;2022
Ryan Waldschmidt,ryan waldschmidt,ryan,waldschmidt,33,2026,2026,OF,Arizona Diamondbacks,MLB,23,1,2026
Sean Murphy,sean murphy,sean,murphy,33,2020,2020,C,Atlanta Braves,MLB,31,2,2019;2020
A.J. Ewing,a j ewing,a,ewing,34,2026,2026,OF/2B,New York Mets,MLB,21,1,2026
Leody Taveras,leody taveras,leody,taveras,34,2018,2018,OF,Baltimore Orioles,MLB,27,2,2017;2018
Randy Arozarena,randy arozarena,randy,arozarena,34,2021,2021,OF,Seattle Mariners,MLB,31,1,2021
Aiva Arquette,aiva arquette,aiva,arquette,35,2026,2026,SS,Miami Marlins,A+,22,1,2026
Jeferson Quero,jeferson quero,jeferson,quero,35,2024,2025,C,Milwaukee Brewers,AAA,23,2,2024;2025
Robert Hassell III,robert hassell,robert,hassell,35,2023,2023,OF,Washington Nationals,AAA,24,3,2021;2022;2023
Scott Kingery,scott kingery,scott,kingery,35,2018,2018,INF/OF,Chicago Cubs,AAA,32,1,2018
Keibert Ruiz,keibert ruiz,keibert,ruiz,36,2019,2021,C,Washington Nationals,MLB,27,4,2018;2019;2020;2021
Kevin Parada,kevin parada,kevin,parada,36,2023,2023,C,New York Mets,AAA,24,1,2023
Nolan Jones,nolan jones,nolan,jones,36,2021,2021,OF/3B,Cleveland Guardians,AAA,28,3,2019;2020;2021
Tyler O'Neill,tyler o'neill,tyler,o'neill,36,2017,2018,OF,Baltimore Orioles,MLB,30,2,2017;2018
Blake Rutherford,blake rutherford,blake,rutherford,37,2017,2018,OF,—,—,29,2,2017;2018
Cole Young,cole young,cole,young,37,2024,2025,2B/SS,Seattle Mariners,MLB,22,2,2024;2025
Edward Florentino,edward florentino,edward,florentino,37,2026,2026,OF/1B,Pittsburgh Pirates,A+,19,1,2026
Emmanuel Rodriguez,emmanuel rodriguez,emmanuel,rodriguez,37,2025,2026,OF,Minnesota Twins,AAA,23,4,2023;2024;2025;2026
Miguel Vargas,miguel vargas,miguel,vargas,37,2023,2023,3B/OF/1B,Chicago White Sox,MLB,26,2,2022;2023
Austin Riley,austin riley,austin,riley,38,2019,2019,3B,Atlanta Braves,MLB,29,2,2018;2019
Eduardo Quintero,eduardo quintero,eduardo,quintero,38,2026,2026,OF,Los Angeles Dodgers,A+,20,1,2026
Harry Ford,harry ford,harry,ford,38,2024,2025,C,Washington Nationals,AAA,23,4,2022;2023;2024;2025
Nick Kurtz,nick kurtz,nick,kurtz,38,2025,2025,1B,Athletics,MLB,23,1,2025
Orelvis Martinez,orelvis martinez,orelvis,martinez,38,2022,2024,2B/3B,Washington Nationals,AAA,24,2,2022;2024
Carson Kelly,carson kelly,carson,kelly,39,2017,2018,C,Chicago Cubs,MLB,31,2,2017;2018
Jesús Sánchez,jesus sanchez,jesus,sanchez,39,2019,2020,OF,Toronto Blue Jays,MLB,28,3,2018;2019;2020
Kaelen Culpepper,kaelen culpepper,kaelen,culpepper,39,2026,2026,SS,Minnesota Twins,AAA,23,1,2026
Tyler Soderstrom,tyler soderstrom,tyler,soderstrom,39,2023,2023,C/1B,Athletics,MLB,24,2,2022;2023
