Player,Resolve_Status,Resolve_Method,Resolve_Reason,BRef_Register_ID,BRef_Register_URL,Birth_Year,Birth_Country,Birth_State,Chadwick_Name
Andrew Benintendi,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=benint000and; attempts=exact_full_name=1,benint000and,https://www.baseball-reference.com/register/player.fcgi?id=benint000and,1994.0,,,Andrew Benintendi
Bobby Witt Jr.,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=witt--005rob; attempts=exact_full_name=2,witt--005rob,https://www.baseball-reference.com/register/player.fcgi?id=witt--005rob,2000.0,,,Bobby Witt
Gunnar Henderson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=hender000gun; attempts=exact_full_name=1,hender000gun,https://www.baseball-reference.com/register/player.fcgi?id=hender000gun,2001.0,,,Gunnar Henderson
Jackson Holliday,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=hollid000jac; attempts=exact_full_name=1,hollid000jac,https://www.baseball-reference.com/register/player.fcgi?id=hollid000jac,2003.0,,,Jackson Holliday
Jesús Made,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=made--000jes; attempts=exact_full_name=1,made--000jes,https://www.baseball-reference.com/register/player.fcgi?id=made--000jes,2007.0,,,Jesús Made
Shohei Ohtani,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=otani-000sho; attempts=exact_full_name=1,otani-000sho,https://www.baseball-reference.com/register/player.fcgi?id=otani-000sho,1994.0,,,Shohei Ohtani
Vladimir Guerrero Jr.,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=guerre002vla; attempts=exact_full_name=2,guerre002vla,https://www.baseball-reference.com/register/player.fcgi?id=guerre002vla,1999.0,,,Vladimir Guerrero
Wander Franco,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1996.0; approx_birth_year=1996; minor_id=franco001wan; attempts=exact_full_name=3,franco001wan,https://www.baseball-reference.com/register/player.fcgi?id=franco001wan,1996.0,,,Wander Franco
Adley Rutschman,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=rutsch000adl; attempts=exact_full_name=1,rutsch000adl,https://www.baseball-reference.com/register/player.fcgi?id=rutsch000adl,1998.0,,,Adley Rutschman
Corbin Carroll,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=carrol000cor; attempts=exact_full_name=1,carrol000cor,https://www.baseball-reference.com/register/player.fcgi?id=carrol000cor,2000.0,,,Corbin Carroll
Fernando Tatis Jr.,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1999.0; approx_birth_year=1992; minor_id=tatis-003fer; attempts=exact_full_name=3,tatis-003fer,https://www.baseball-reference.com/register/player.fcgi?id=tatis-003fer,1999.0,,,Fernando Tatís
Gavin Lux,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=lux---000gav; attempts=exact_full_name=1,lux---000gav,https://www.baseball-reference.com/register/player.fcgi?id=lux---000gav,1997.0,,,Gavin Lux
Jackson Chourio,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2002; minor_id=chouri000jac; attempts=exact_full_name=1,chouri000jac,https://www.baseball-reference.com/register/player.fcgi?id=chouri000jac,2004.0,,,Jackson Chourio
Leo De Vries,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=devrie000leo; attempts=exact_full_name=1,devrie000leo,https://www.baseball-reference.com/register/player.fcgi?id=devrie000leo,2006.0,,,Leo De Vries
Roman Anthony,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2003; minor_id=anthon000rom; attempts=exact_full_name=1,anthon000rom,https://www.baseball-reference.com/register/player.fcgi?id=anthon000rom,2004.0,,,Roman Anthony
Ronald Acuña Jr.,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=acuna-002ron; attempts=exact_full_name=1,acuna-002ron,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron,1997.0,,,Ronald Acuña
Yoán Moncada,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=moncad000joh; attempts=exact_full_name=1,moncad000joh,https://www.baseball-reference.com/register/player.fcgi?id=moncad000joh,1995.0,,,Yoán Moncada
Eloy Jiménez,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1990; minor_id=jimene000elo; attempts=exact_full_name=1,jimene000elo,https://www.baseball-reference.com/register/player.fcgi?id=jimene000elo,1996.0,,,Eloy Jiménez
Francisco Alvarez,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=alvare006fra; attempts=exact_full_name=2,alvare006fra,https://www.baseball-reference.com/register/player.fcgi?id=alvare006fra,2001.0,,,Francisco Álvarez
Gleyber Torres,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1989; minor_id=torres000gle; attempts=exact_full_name=1,torres000gle,https://www.baseball-reference.com/register/player.fcgi?id=torres000gle,1996.0,,,Gleyber Torres
Julio Rodríguez,resolved,chadwick_name_match_with_minor_id,matches=13; selected_birth_year=1997.0; approx_birth_year=1997; minor_id=rodrig010jul; attempts=exact_full_name=13,rodrig010jul,https://www.baseball-reference.com/register/player.fcgi?id=rodrig010jul,1997.0,,,Julio Rodriguez
Luis Robert Jr.,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=robert001lui; attempts=exact_full_name=1,robert001lui,https://www.baseball-reference.com/register/player.fcgi?id=robert001lui,1997.0,,,Luis Robert
Spencer Torkelson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1996; minor_id=torkel000spe; attempts=exact_full_name=1,torkel000spe,https://www.baseball-reference.com/register/player.fcgi?id=torkel000spe,1999.0,,,Spencer Torkelson
Walker Jenkins,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2005; minor_id=jenkin001wal; attempts=exact_full_name=2,jenkin001wal,https://www.baseball-reference.com/register/player.fcgi?id=jenkin001wal,2005.0,,,Walker Jenkins
Dansby Swanson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1985; minor_id=swanso001dan; attempts=exact_full_name=1,swanso001dan,https://www.baseball-reference.com/register/player.fcgi?id=swanso001dan,1994.0,,,Dansby Swanson
Dylan Crews,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=crews-000dyl; attempts=exact_full_name=1,crews-000dyl,https://www.baseball-reference.com/register/player.fcgi?id=crews-000dyl,2002.0,,,Dylan Crews
Eli Willits,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2008; minor_id=willit000eli; attempts=exact_full_name=1,willit000eli,https://www.baseball-reference.com/register/player.fcgi?id=willit000eli,2007.0,,,Eli Willits
Jarred Kelenic,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1995; minor_id=keleni000jar; attempts=exact_full_name=1,keleni000jar,https://www.baseball-reference.com/register/player.fcgi?id=keleni000jar,1999.0,,,Jarred Kelenic
Jordan Walker,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2002.0; approx_birth_year=2000; minor_id=walker000jor; attempts=exact_full_name=2,walker000jor,https://www.baseball-reference.com/register/player.fcgi?id=walker000jor,2002.0,,,Jordan Walker
Junior Caminero,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=camine000jun; attempts=exact_full_name=1,camine000jun,https://www.baseball-reference.com/register/player.fcgi?id=camine000jun,2003.0,,,Junior Caminero
Victor Robles,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=robles002vic; attempts=exact_full_name=2,robles002vic,https://www.baseball-reference.com/register/player.fcgi?id=robles002vic,1997.0,,,Víctor Robles
Amed Rosario,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=rosari000ame; attempts=exact_full_name=1,rosari000ame,https://www.baseball-reference.com/register/player.fcgi?id=rosari000ame,1995.0,,,Amed Rosario
Anthony Volpe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1998; minor_id=volpe-000ant; attempts=exact_full_name=1,volpe-000ant,https://www.baseball-reference.com/register/player.fcgi?id=volpe-000ant,2001.0,,,Anthony Volpe
Evan Carter,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=carter000eva; attempts=exact_full_name=2,carter000eva,https://www.baseball-reference.com/register/player.fcgi?id=carter000eva,2002.0,,,Evan Carter
Riley Greene,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=greene000ril; attempts=exact_full_name=1,greene000ril,https://www.baseball-reference.com/register/player.fcgi?id=greene000ril,2000.0,,,Riley Greene
Royce Lewis,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=lewis-002roy; attempts=exact_full_name=1,lewis-002roy,https://www.baseball-reference.com/register/player.fcgi?id=lewis-002roy,1999.0,,,Royce Lewis
Colt Emerson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=emerso001col; attempts=exact_full_name=1,emerso001col,https://www.baseball-reference.com/register/player.fcgi?id=emerso001col,2005.0,,,Colt Emerson
Jo Adell,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1993; minor_id=adell-000jo-; attempts=exact_full_name=1,adell-000jo-,https://www.baseball-reference.com/register/player.fcgi?id=adell-000jo-,1999.0,,,Jo Adell
Max Clark,resolved,chadwick_name_match_with_minor_id,matches=6; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=clark-005max; attempts=exact_full_name=6,clark-005max,https://www.baseball-reference.com/register/player.fcgi?id=clark-005max,2004.0,,,Max Clark
Nick Senzel,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1989; minor_id=senzel000nic; attempts=exact_full_name=1,senzel000nic,https://www.baseball-reference.com/register/player.fcgi?id=senzel000nic,1995.0,,,Nick Senzel
Wyatt Langford,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=langfo000wya; attempts=exact_full_name=1,langfo000wya,https://www.baseball-reference.com/register/player.fcgi?id=langfo000wya,2001.0,,,Wyatt Langford
Gabriel Moreno,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=moreno000gab; attempts=exact_full_name=1,moreno000gab,https://www.baseball-reference.com/register/player.fcgi?id=moreno000gab,2000.0,,,Gabriel Moreno
J.P. Crawford,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=crawfo000jp-; attempts=exact_full_name=1,crawfo000jp-,https://www.baseball-reference.com/register/player.fcgi?id=crawfo000jp-,1995.0,,,J. P. Crawford
Kristian Campbell,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=campbe000kri; attempts=exact_full_name=1,campbe000kri,https://www.baseball-reference.com/register/player.fcgi?id=campbe000kri,2002.0,,,Kristian Campbell
CJ Abrams,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=abrams000pau; attempts=exact_full_name=1,abrams000pau,https://www.baseball-reference.com/register/player.fcgi?id=abrams000pau,2000.0,,,CJ Abrams
Ethan Salas,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=salas-000eth; attempts=exact_full_name=1,salas-000eth,https://www.baseball-reference.com/register/player.fcgi?id=salas-000eth,2006.0,,,Ethan Salas
Kyle Tucker,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=tucker001kyl; attempts=exact_full_name=1,tucker001kyl,https://www.baseball-reference.com/register/player.fcgi?id=tucker001kyl,1997.0,,,Kyle Tucker
Alex Kirilloff,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1993; minor_id=kirill000ale; attempts=exact_full_name=1,kirill000ale,https://www.baseball-reference.com/register/player.fcgi?id=kirill000ale,1997.0,,,Alex Kirilloff
Carson Williams,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=willia017car; attempts=exact_full_name=2,willia017car,https://www.baseball-reference.com/register/player.fcgi?id=willia017car,2003.0,,,Carson Williams
Colson Montgomery,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=montgo001col; attempts=exact_full_name=1,montgo001col,https://www.baseball-reference.com/register/player.fcgi?id=montgo001col,2002.0,,,Colson Montgomery
Josue De Paula,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=depaul002jos; attempts=exact_full_name=1,depaul002jos,https://www.baseball-reference.com/register/player.fcgi?id=depaul002jos,2005.0,,,Josue De Paula
Ke'Bryan Hayes,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=hayes-000keb; attempts=exact_full_name=1,hayes-000keb,https://www.baseball-reference.com/register/player.fcgi?id=hayes-000keb,1997.0,,,Ke'Bryan Hayes
Marcelo Mayer,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=mayer-000mar; attempts=exact_full_name=1,mayer-000mar,https://www.baseball-reference.com/register/player.fcgi?id=mayer-000mar,2002.0,,,Marcelo Mayer
Austin Meadows,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=meadow000aus; attempts=exact_full_name=1,meadow000aus,https://www.baseball-reference.com/register/player.fcgi?id=meadow000aus,1995.0,,,Austin Meadows
Brendan Rodgers,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1991; minor_id=rodger000bre; attempts=exact_full_name=1,rodger000bre,https://www.baseball-reference.com/register/player.fcgi?id=rodger000bre,1996.0,,,Brendan Rodgers
Elly De La Cruz,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=1999; minor_id=delacr000ell; attempts=exact_full_name=1,delacr000ell,https://www.baseball-reference.com/register/player.fcgi?id=delacr000ell,2002.0,,,Elly De La Cruz
Sebastian Walcott,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2006; minor_id=walcot000seb; attempts=exact_full_name=1,walcot000seb,https://www.baseball-reference.com/register/player.fcgi?id=walcot000seb,2006.0,,,Sebastian Walcott
Travis Bazzana,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=bazzan000tra; attempts=exact_full_name=1,bazzan000tra,https://www.baseball-reference.com/register/player.fcgi?id=bazzan000tra,2002.0,,,Travis Bazzana
Bo Bichette,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1991; minor_id=bichet000bo-; attempts=exact_full_name=1,bichet000bo-,https://www.baseball-reference.com/register/player.fcgi?id=bichet000bo-,1998.0,,,Bo Bichette
Francisco Mejía,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1986.0; approx_birth_year=1989; minor_id=mejia-003fra; attempts=exact_full_name=3,mejia-003fra,https://www.baseball-reference.com/register/player.fcgi?id=mejia-003fra,1986.0,,,Francisco Mejia
Franklin Arias,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=arias-008fra; attempts=exact_full_name=2,arias-008fra,https://www.baseball-reference.com/register/player.fcgi?id=arias-008fra,2005.0,,,Franklin Arias
Jordan Lawlar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=lawlar000jor; attempts=exact_full_name=1,lawlar000jor,https://www.baseball-reference.com/register/player.fcgi?id=lawlar000jor,2002.0,,,Jordan Lawlar
Noelvi Marte,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=marte-000noe; attempts=exact_full_name=1,marte-000noe,https://www.baseball-reference.com/register/player.fcgi?id=marte-000noe,2001.0,,,Noelvi Marte
Ozzie Albies,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1988; minor_id=albies000ozh; attempts=exact_full_name=1,albies000ozh,https://www.baseball-reference.com/register/player.fcgi?id=albies000ozh,1997.0,,,Ozzie Albies
Cristian Pache,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=pache-000cri; attempts=exact_full_name=1,pache-000cri,https://www.baseball-reference.com/register/player.fcgi?id=pache-000cri,1998.0,,,Cristian Pache
Jackson Merrill,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2001; minor_id=merril000jac; attempts=exact_full_name=1,merril000jac,https://www.baseball-reference.com/register/player.fcgi?id=merril000jac,2003.0,,,Jackson Merrill
Cody Bellinger,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1987; minor_id=bellin000cod; attempts=exact_full_name=1,bellin000cod,https://www.baseball-reference.com/register/player.fcgi?id=bellin000cod,1995.0,,,Cody Bellinger
Dylan Carlson,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=carlso000dyl; attempts=exact_full_name=2,carlso000dyl,https://www.baseball-reference.com/register/player.fcgi?id=carlso000dyl,1998.0,,,Dylan Carlson
Marco Luciano,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=lucian000mar; attempts=exact_full_name=1,lucian000mar,https://www.baseball-reference.com/register/player.fcgi?id=lucian000mar,2001.0,,,Marco Luciano
Samuel Basallo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=basall000sam; attempts=exact_full_name=1,basall000sam,https://www.baseball-reference.com/register/player.fcgi?id=basall000sam,2004.0,,,Samuel Basallo
Andrew Vaughn,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1998.0; approx_birth_year=1993; minor_id=vaughn000and; attempts=exact_full_name=2,vaughn000and,https://www.baseball-reference.com/register/player.fcgi?id=vaughn000and,1998.0,,,Andrew Vaughn
Coby Mayo,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=mayo--000cob; attempts=exact_full_name=1,mayo--000cob,https://www.baseball-reference.com/register/player.fcgi?id=mayo--000cob,2001.0,,,Coby Mayo
Diego Cartaya,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=cartay000die; attempts=exact_full_name=1,cartay000die,https://www.baseball-reference.com/register/player.fcgi?id=cartay000die,2001.0,,,Diego Cartaya
James Wood,resolved,chadwick_name_match_with_minor_id,matches=10; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=wood--009jam; attempts=exact_full_name=10,wood--009jam,https://www.baseball-reference.com/register/player.fcgi?id=wood--009jam,2002.0,,,James Wood
Joey Bart,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1993; minor_id=bart--000joe; attempts=exact_full_name=1,bart--000joe,https://www.baseball-reference.com/register/player.fcgi?id=bart--000joe,1996.0,,,Joey Bart
Brennen Davis,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=davis-014bre; attempts=exact_full_name=2,davis-014bre,https://www.baseball-reference.com/register/player.fcgi?id=davis-014bre,1999.0,,,Brennen Davis
Caleb Bonemer,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=boneme000cal; attempts=exact_full_name=1,boneme000cal,https://www.baseball-reference.com/register/player.fcgi?id=boneme000cal,2005.0,,,Caleb Bonemer
Druw Jones,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=jones-000dru; attempts=exact_full_name=1,jones-000dru,https://www.baseball-reference.com/register/player.fcgi?id=jones-000dru,2003.0,,,Druw Jones
Aidan Miller,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=miller003aid; attempts=exact_full_name=4,miller003aid,https://www.baseball-reference.com/register/player.fcgi?id=miller003aid,2004.0,,,Aidan Miller
Pete Crow-Armstrong,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2000; minor_id=crow-a000pet; attempts=exact_full_name=1,crow-a000pet,https://www.baseball-reference.com/register/player.fcgi?id=crow-a000pet,2002.0,,,Pete Crow-Armstrong
Taylor Trammell,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1993; minor_id=tramme000tay; attempts=exact_full_name=1,tramme000tay,https://www.baseball-reference.com/register/player.fcgi?id=tramme000tay,1997.0,,,Taylor Trammell
Triston Casas,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=casas-000tri; attempts=exact_full_name=1,casas-000tri,https://www.baseball-reference.com/register/player.fcgi?id=casas-000tri,2000.0,,,Triston Casas
Ethan Holliday,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=hollid000eth; attempts=exact_full_name=1,hollid000eth,https://www.baseball-reference.com/register/player.fcgi?id=hollid000eth,2007.0,,,Ethan Holliday
Rafael Devers,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1988; minor_id=devers000raf; attempts=exact_full_name=1,devers000raf,https://www.baseball-reference.com/register/player.fcgi?id=devers000raf,1996.0,,,Rafael Devers
Alek Thomas,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=thomas002ale; attempts=exact_full_name=1,thomas002ale,https://www.baseball-reference.com/register/player.fcgi?id=thomas002ale,2000.0,,,Alek Thomas
Brooks Lee,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=lee---000bro; attempts=exact_full_name=1,lee---000bro,https://www.baseball-reference.com/register/player.fcgi?id=lee---000bro,2001.0,,,Brooks Lee
Bryce Eldridge,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=eldrid000bry; attempts=exact_full_name=1,eldrid000bry,https://www.baseball-reference.com/register/player.fcgi?id=eldrid000bry,2004.0,,,Bryce Eldridge
