Player,Resolve_Status,Resolve_Method,Resolve_Reason,BRef_Register_ID,BRef_Register_URL,Birth_Year,Birth_Country,Birth_State,Chadwick_Name
Lewis Brinson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=brinso000lew; attempts=exact_full_name=1,brinso000lew,https://www.baseball-reference.com/register/player.fcgi?id=brinso000lew,1994.0,,,Lewis Brinson
Colton Cowser,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1998; minor_id=cowser000col; attempts=exact_full_name=1,cowser000col,https://www.baseball-reference.com/register/player.fcgi?id=cowser000col,2000.0,,,Colton Cowser
Luis Peña,resolved,chadwick_name_match_with_minor_id,matches=11; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=pena--010lui; attempts=exact_full_name=11,pena--010lui,https://www.baseball-reference.com/register/player.fcgi?id=pena--010lui,2006.0,,,Luis Peña
Matt Shaw,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=shaw--000mat; attempts=exact_full_name=2,shaw--000mat,https://www.baseball-reference.com/register/player.fcgi?id=shaw--000mat,2001.0,,,Matt Shaw
Mickey Moniak,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1990; minor_id=moniak000mic; attempts=exact_full_name=1,moniak000mic,https://www.baseball-reference.com/register/player.fcgi?id=moniak000mic,1998.0,,,Mickey Moniak
JJ Bleday,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1994; minor_id=bleday000jef; attempts=exact_full_name=1,bleday000jef,https://www.baseball-reference.com/register/player.fcgi?id=bleday000jef,1997.0,,,JJ Bleday
Keston Hiura,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1990; minor_id=hiura-000kes; attempts=exact_full_name=1,hiura-000kes,https://www.baseball-reference.com/register/player.fcgi?id=hiura-000kes,1996.0,,,Keston Hiura
Nick Gonzales,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=1999.0; approx_birth_year=1996; minor_id=gonzal004nic; attempts=exact_full_name=4,gonzal004nic,https://www.baseball-reference.com/register/player.fcgi?id=gonzal004nic,1999.0,,,Nick Gonzales
Zyhir Hope,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2005; minor_id=hope--000zyh; attempts=exact_full_name=1,hope--000zyh,https://www.baseball-reference.com/register/player.fcgi?id=hope--000zyh,2005.0,,,Zyhir Hope
Brett Baty,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=baty--000bre; attempts=exact_full_name=1,baty--000bre,https://www.baseball-reference.com/register/player.fcgi?id=baty--000bre,1999.0,,,Brett Baty
Carter Kieboom,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=kieboo000car; attempts=exact_full_name=1,kieboo000car,https://www.baseball-reference.com/register/player.fcgi?id=kieboo000car,1997.0,,,Carter Kieboom
George Lombard Jr.,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=lombar002geo; attempts=exact_full_name=2,lombar002geo,https://www.baseball-reference.com/register/player.fcgi?id=lombar002geo,2005.0,,,George Lombard
Jasson Domínguez,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=doming002jas; attempts=exact_full_name=1,doming002jas,https://www.baseball-reference.com/register/player.fcgi?id=doming002jas,2003.0,,,Jasson Domínguez
Willy Adames,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=adames000wil; attempts=exact_full_name=1,adames000wil,https://www.baseball-reference.com/register/player.fcgi?id=adames000wil,1995.0,,,Willy Adames
Austin Martin,resolved,chadwick_name_match_with_minor_id,matches=8; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=martin005aus; attempts=exact_full_name=8,martin005aus,https://www.baseball-reference.com/register/player.fcgi?id=martin005aus,1998.0,,,Austin Martin
Bradley Zimmer,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1992.0; approx_birth_year=1984; minor_id=zimmer000bra; attempts=exact_full_name=1,zimmer000bra,https://www.baseball-reference.com/register/player.fcgi?id=zimmer000bra,1992.0,,,Bradley Zimmer
Colt Keith,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=keith-000col; attempts=exact_full_name=1,keith-000col,https://www.baseball-reference.com/register/player.fcgi?id=keith-000col,2001.0,,,Colt Keith
Jac Caglianone,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=caglia000jac; attempts=exact_full_name=1,caglia000jac,https://www.baseball-reference.com/register/player.fcgi?id=caglia000jac,2003.0,,,Jac Caglianone
Austin Hays,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=hays--000aus; attempts=exact_full_name=2,hays--000aus,https://www.baseball-reference.com/register/player.fcgi?id=hays--000aus,1995.0,,,Austin Hays
JJ Wetherholt,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=wether000jj-; attempts=exact_full_name=1,wether000jj-,https://www.baseball-reference.com/register/player.fcgi?id=wether000jj-,2002.0,,,JJ Wetherholt
Luis Urías,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1991; minor_id=urias-000lui; attempts=exact_full_name=2,urias-000lui,https://www.baseball-reference.com/register/player.fcgi?id=urias-000lui,1997.0,,,Luis Urías
Manuel Margot,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=margot000man; attempts=exact_full_name=1,margot000man,https://www.baseball-reference.com/register/player.fcgi?id=margot000man,1994.0,,,Manuel Margot
Braden Montgomery,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=montgo002bra; attempts=exact_full_name=1,montgo002bra,https://www.baseball-reference.com/register/player.fcgi?id=montgo002bra,2003.0,,,Braden Montgomery
Clint Frazier,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=frazie000cli; attempts=exact_full_name=1,frazie000cli,https://www.baseball-reference.com/register/player.fcgi?id=frazie000cli,1994.0,,,Clint Frazier
Henry Davis,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=davis-004hen; attempts=exact_full_name=3,davis-004hen,https://www.baseball-reference.com/register/player.fcgi?id=davis-004hen,1999.0,,,Henry Davis
Ezequiel Tovar,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=tovar-000eze; attempts=exact_full_name=1,tovar-000eze,https://www.baseball-reference.com/register/player.fcgi?id=tovar-000eze,2001.0,,,Ezequiel Tovar
Kahlil Watson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=1999; minor_id=watson000kah; attempts=exact_full_name=1,watson000kah,https://www.baseball-reference.com/register/player.fcgi?id=watson000kah,2003.0,,,Kahlil Watson
Rainiel Rodriguez,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2007; minor_id=rodrig004rai; attempts=exact_full_name=1,rodrig004rai,https://www.baseball-reference.com/register/player.fcgi?id=rodrig004rai,2007.0,,,Rainiel Rodriguez
Alfredo Duno,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2006; minor_id=duno--000alf; attempts=exact_full_name=1,duno--000alf,https://www.baseball-reference.com/register/player.fcgi?id=duno--000alf,2006.0,,,Alfredo Duno
Drew Waters,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=waters002dre; attempts=exact_full_name=1,waters002dre,https://www.baseball-reference.com/register/player.fcgi?id=waters002dre,1998.0,,,Drew Waters
Oneil Cruz,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=cruz--000one; attempts=exact_full_name=1,cruz--000one,https://www.baseball-reference.com/register/player.fcgi?id=cruz--000one,1998.0,,,Oneil Cruz
Termarr Johnson,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=johnso008ter; attempts=exact_full_name=1,johnso008ter,https://www.baseball-reference.com/register/player.fcgi?id=johnso008ter,2004.0,,,Termarr Johnson
Josh Bell,resolved,chadwick_name_match_with_minor_id,matches=7; selected_birth_year=1984.0; approx_birth_year=1984; minor_id=bell--004jos; attempts=exact_full_name=7,bell--004jos,https://www.baseball-reference.com/register/player.fcgi?id=bell--004jos,1984.0,,,Josh Bell
Zac Veen,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=veen--001zac; attempts=exact_full_name=1,veen--001zac,https://www.baseball-reference.com/register/player.fcgi?id=veen--001zac,2001.0,,,Zac Veen
Adael Amador,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2001; minor_id=amador000ada; attempts=exact_full_name=1,amador000ada,https://www.baseball-reference.com/register/player.fcgi?id=amador000ada,2003.0,,,Adael Amador
Ian Happ,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=happ--000ian; attempts=exact_full_name=1,happ--000ian,https://www.baseball-reference.com/register/player.fcgi?id=happ--000ian,1994.0,,,Ian Happ
Kevin McGonigle,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2004; minor_id=mcgoni000kev; attempts=exact_full_name=1,mcgoni000kev,https://www.baseball-reference.com/register/player.fcgi?id=mcgoni000kev,2004.0,,,Kevin McGonigle
Charlie Condon,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=condon000cha; attempts=exact_full_name=1,condon000cha,https://www.baseball-reference.com/register/player.fcgi?id=condon000cha,2003.0,,,Charlie Condon
Josh Jung,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1995; minor_id=jung--000jos; attempts=exact_full_name=1,jung--000jos,https://www.baseball-reference.com/register/player.fcgi?id=jung--000jos,1998.0,,,Josh Jung
Juan Soto,resolved,chadwick_name_match_with_minor_id,matches=4; selected_birth_year=1990.0; approx_birth_year=1991; minor_id=soto--002jua; attempts=exact_full_name=4,soto--002jua,https://www.baseball-reference.com/register/player.fcgi?id=soto--002jua,1990.0,,,Juan Soto
Kyle Lewis,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=lewis-001kyl; attempts=exact_full_name=9,lewis-001kyl,https://www.baseball-reference.com/register/player.fcgi?id=lewis-001kyl,1995.0,,,Kyle Lewis
Alec Bohm,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1996.0; approx_birth_year=1991; minor_id=bohm--000ale; attempts=exact_full_name=1,bohm--000ale,https://www.baseball-reference.com/register/player.fcgi?id=bohm--000ale,1996.0,,,Alec Bohm
Corey Ray,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1992.0; approx_birth_year=1986; minor_id=ray---001cor; attempts=exact_full_name=2,ray---001cor,https://www.baseball-reference.com/register/player.fcgi?id=ray---001cor,1992.0,,,Corey Ray
Dalton Rushing,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=rushin000dal; attempts=exact_full_name=1,rushin000dal,https://www.baseball-reference.com/register/player.fcgi?id=rushin000dal,2001.0,,,Dalton Rushing
Lazaro Montes,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=montes000laz; attempts=exact_full_name=1,montes000laz,https://www.baseball-reference.com/register/player.fcgi?id=montes000laz,2004.0,,,Lazaro Montes
Sal Frelick,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1997; minor_id=frelic000sal; attempts=exact_full_name=1,frelic000sal,https://www.baseball-reference.com/register/player.fcgi?id=frelic000sal,2000.0,,,Sal Frelick
Chase DeLauter,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2001; minor_id=delaut000cha; attempts=exact_full_name=1,delaut000cha,https://www.baseball-reference.com/register/player.fcgi?id=delaut000cha,2001.0,,,Chase DeLauter
Jacob Wilson,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=wilson021jac; attempts=exact_full_name=9,wilson021jac,https://www.baseball-reference.com/register/player.fcgi?id=wilson021jac,2002.0,,,Jacob Wilson
Josuar Gonzalez,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2007.0; approx_birth_year=2008; minor_id=dejesu005jos; attempts=exact_full_name=1,dejesu005jos,https://www.baseball-reference.com/register/player.fcgi?id=dejesu005jos,2007.0,,,Josuar Gonzalez
Heston Kjerstad,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1999.0; approx_birth_year=1997; minor_id=kjerst000hes; attempts=exact_full_name=1,kjerst000hes,https://www.baseball-reference.com/register/player.fcgi?id=kjerst000hes,1999.0,,,Heston Kjerstad
JoJo Parker,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=parker000joj; attempts=exact_full_name=1,parker000joj,https://www.baseball-reference.com/register/player.fcgi?id=parker000joj,2006.0,,,JoJo Parker
Kevin Maitan,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1992; minor_id=maitan000kev; attempts=exact_full_name=1,maitan000kev,https://www.baseball-reference.com/register/player.fcgi?id=maitan000kev,2000.0,,,Kevin Maitan
Kyle Teel,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2001; minor_id=teel--000kyl; attempts=exact_full_name=1,teel--000kyl,https://www.baseball-reference.com/register/player.fcgi?id=teel--000kyl,2002.0,,,Kyle Teel
Alex Verdugo,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1996.0; approx_birth_year=1989; minor_id=verdug000ale; attempts=exact_full_name=2,verdug000ale,https://www.baseball-reference.com/register/player.fcgi?id=verdug000ale,1996.0,,,Alex Verdugo
Curtis Mead,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1999; minor_id=mead--000cur; attempts=exact_full_name=1,mead--000cur,https://www.baseball-reference.com/register/player.fcgi?id=mead--000cur,2000.0,,,Curtis Mead
Nolan Gorman,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2000.0; approx_birth_year=1996; minor_id=gorman000nol; attempts=exact_full_name=1,gorman000nol,https://www.baseball-reference.com/register/player.fcgi?id=gorman000nol,2000.0,,,Nolan Gorman
Ryan Waldschmidt,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=waldsc000rya; attempts=exact_full_name=1,waldsc000rya,https://www.baseball-reference.com/register/player.fcgi?id=waldsc000rya,2002.0,,,Ryan Waldschmidt
Sean Murphy,resolved,chadwick_name_match_with_minor_id,matches=13; selected_birth_year=1988.0; approx_birth_year=1989; minor_id=murphy005sea; attempts=exact_full_name=13,murphy005sea,https://www.baseball-reference.com/register/player.fcgi?id=murphy005sea,1988.0,,,Sean Murphy
A.J. Ewing,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2004.0; approx_birth_year=2005; minor_id=ewing-000aj-; attempts=exact_full_name=1,ewing-000aj-,https://www.baseball-reference.com/register/player.fcgi?id=ewing-000aj-,2004.0,,,A. J. Ewing
Leody Taveras,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1991; minor_id=tavera000leo; attempts=exact_full_name=1,tavera000leo,https://www.baseball-reference.com/register/player.fcgi?id=tavera000leo,1998.0,,,Leody Taveras
Randy Arozarena,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1995.0; approx_birth_year=1990; minor_id=arroza000ran; attempts=exact_full_name=1,arroza000ran,https://www.baseball-reference.com/register/player.fcgi?id=arroza000ran,1995.0,,,Randy Arozarena
Aiva Arquette,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=arquet000aiv; attempts=exact_full_name=1,arquet000aiv,https://www.baseball-reference.com/register/player.fcgi?id=arquet000aiv,2003.0,,,Aiva Arquette
Jeferson Quero,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2002; minor_id=quero-000jef; attempts=exact_full_name=1,quero-000jef,https://www.baseball-reference.com/register/player.fcgi?id=quero-000jef,2002.0,,,Jeferson Quero
Robert Hassell III,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=hassel002rob; attempts=exact_full_name=1,hassel002rob,https://www.baseball-reference.com/register/player.fcgi?id=hassel002rob,2001.0,,,Robert Hassell
Scott Kingery,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1994.0; approx_birth_year=1986; minor_id=kinger000sco; attempts=exact_full_name=1,kinger000sco,https://www.baseball-reference.com/register/player.fcgi?id=kinger000sco,1994.0,,,Scott Kingery
Keibert Ruiz,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1994; minor_id=ruiz--000kei; attempts=exact_full_name=1,ruiz--000kei,https://www.baseball-reference.com/register/player.fcgi?id=ruiz--000kei,1998.0,,,Keibert Ruiz
Kevin Parada,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=parada000kev; attempts=exact_full_name=1,parada000kev,https://www.baseball-reference.com/register/player.fcgi?id=parada000kev,2001.0,,,Kevin Parada
Nolan Jones,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1998.0; approx_birth_year=1993; minor_id=jones-000nol; attempts=exact_full_name=1,jones-000nol,https://www.baseball-reference.com/register/player.fcgi?id=jones-000nol,1998.0,,,Nolan Jones
Tyler O'Neill,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1995.0; approx_birth_year=1988; minor_id=oneill000tyl; attempts=exact_full_name=3,oneill000tyl,https://www.baseball-reference.com/register/player.fcgi?id=oneill000tyl,1995.0,,,Tyler O'Neill
Blake Rutherford,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1995.0; approx_birth_year=1989; minor_id=ruther001bla; attempts=exact_full_name=2,ruther001bla,https://www.baseball-reference.com/register/player.fcgi?id=ruther001bla,1995.0,,,Blake Rutherford
Cole Young,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=young-006col; attempts=exact_full_name=3,young-006col,https://www.baseball-reference.com/register/player.fcgi?id=young-006col,2003.0,,,Cole Young
Edward Florentino,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2007; minor_id=floren000edw; attempts=exact_full_name=1,floren000edw,https://www.baseball-reference.com/register/player.fcgi?id=floren000edw,2006.0,,,Edward Florentino
Emmanuel Rodriguez,resolved,chadwick_name_match_with_minor_id,matches=5; selected_birth_year=2003.0; approx_birth_year=2003; minor_id=rodrig003emm; attempts=exact_full_name=5,rodrig003emm,https://www.baseball-reference.com/register/player.fcgi?id=rodrig003emm,2003.0,,,Emmanuel Rodriguez
Miguel Vargas,resolved,chadwick_name_match_with_minor_id,matches=9; selected_birth_year=1995.0; approx_birth_year=1997; minor_id=vargas004mig; attempts=exact_full_name=9,vargas004mig,https://www.baseball-reference.com/register/player.fcgi?id=vargas004mig,1995.0,,,Miguel Vargas
Austin Riley,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1990; minor_id=riley-000aus; attempts=exact_full_name=2,riley-000aus,https://www.baseball-reference.com/register/player.fcgi?id=riley-000aus,1997.0,,,Austin Riley
Eduardo Quintero,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2005.0; approx_birth_year=2006; minor_id=quinte000edu; attempts=exact_full_name=1,quinte000edu,https://www.baseball-reference.com/register/player.fcgi?id=quinte000edu,2005.0,,,Eduardo Quintero
Harry Ford,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=ford--003har; attempts=exact_full_name=2,ford--003har,https://www.baseball-reference.com/register/player.fcgi?id=ford--003har,2003.0,,,Harry Ford
Nick Kurtz,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2002; minor_id=kurtz-000nic; attempts=exact_full_name=1,kurtz-000nic,https://www.baseball-reference.com/register/player.fcgi?id=kurtz-000nic,2003.0,,,Nick Kurtz
Orelvis Martinez,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=2000; minor_id=martin001ore; attempts=exact_full_name=1,martin001ore,https://www.baseball-reference.com/register/player.fcgi?id=martin001ore,2001.0,,,Orelvis Martinez
Carson Kelly,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=kelly-001car; attempts=exact_full_name=3,kelly-001car,https://www.baseball-reference.com/register/player.fcgi?id=kelly-001car,1994.0,,,Carson Kelly
Jesús Sánchez,resolved,chadwick_name_match_with_minor_id,matches=11; selected_birth_year=1995.0; approx_birth_year=1992; minor_id=sanche006jes; attempts=exact_full_name=11,sanche006jes,https://www.baseball-reference.com/register/player.fcgi?id=sanche006jes,1995.0,,,Jesus Sanchez
Kaelen Culpepper,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2002.0; approx_birth_year=2003; minor_id=culpep000kae; attempts=exact_full_name=1,culpep000kae,https://www.baseball-reference.com/register/player.fcgi?id=culpep000kae,2002.0,,,Kaelen Culpepper
Tyler Soderstrom,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2001.0; approx_birth_year=1999; minor_id=soders000tyl; attempts=exact_full_name=1,soders000tyl,https://www.baseball-reference.com/register/player.fcgi?id=soders000tyl,2001.0,,,Tyler Soderstrom
Nick Madrigal,resolved,chadwick_name_match_with_minor_id,matches=2; selected_birth_year=1997.0; approx_birth_year=1992; minor_id=madrig000nic; attempts=exact_full_name=2,madrig000nic,https://www.baseball-reference.com/register/player.fcgi?id=madrig000nic,1997.0,,,Nick Madrigal
Ryan McMahon,resolved,chadwick_name_match_with_minor_id,matches=3; selected_birth_year=1994.0; approx_birth_year=1987; minor_id=mcmaho000rya; attempts=exact_full_name=3,mcmaho000rya,https://www.baseball-reference.com/register/player.fcgi?id=mcmaho000rya,1994.0,,,Ryan McMahon
Hunter Renfroe,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=1992.0; approx_birth_year=1983; minor_id=renfro002dus; attempts=exact_full_name=1,renfro002dus,https://www.baseball-reference.com/register/player.fcgi?id=renfro002dus,1992.0,,,Hunter Renfroe
Mike Sirota,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2003.0; approx_birth_year=2004; minor_id=sirota000mic; attempts=exact_full_name=1,sirota000mic,https://www.baseball-reference.com/register/player.fcgi?id=sirota000mic,2003.0,,,Mike Sirota
Konnor Griffin,resolved,chadwick_name_match_with_minor_id,matches=1; selected_birth_year=2006.0; approx_birth_year=2005; minor_id=griffi000kon; attempts=exact_full_name=1,griffi000kon,https://www.baseball-reference.com/register/player.fcgi?id=griffi000kon,2006.0,,,Konnor Griffin
